MES,POSICION_DIA,HORA_DEL_DIA,HORARIO_TURNO_CATEGORICA,ID_UBICACION_ORIGEN,LATITUD_ORIGEN,LONGITUD_ORIGEN,ID_UBICACION_DESTINO,LATITUD_DESTINO,LONGITUD_DESTINO,TIEMPO_MOVILIZACION,MINUTOS_EN_ESTACION,SERVICE_ID,MINUTOS_EN_ACTIVIDAD,MINUTOS_ALISTAMIENTO,USUARIO_ID,CLUSTER
5,2,9,1,4,3.44481498030605,-76.5085476281698,73,3.44265715161853,-76.5281285653011,23,20,6135,9,1,2,3
5,3,7,1,34,3.43453710452703,-76.5138022279781,32,3.44210427482807,-76.5329592237468,6,13,6135,9,2,2,3
5,4,13,1,38,3.42464409173821,-76.4942797697259,73,3.44265715161853,-76.5281285653011,12,18,6135,15,0,2,3
5,6,7,1,43,3.4320953203622,-76.5101182138973,32,3.44210427482807,-76.5329592237468,21,11,6137,0,10,2,3
5,6,7,1,43,3.4320953203622,-76.5101182138973,32,3.44210427482807,-76.5329592237468,21,11,6135,5,4,2,3
5,7,10,1,68,3.44801119892302,-76.5299371464294,69,3.45297491831844,-76.5313634424706,9,25,6137,0,24,2,3
5,2,23,3,72,3.44845956177583,-76.5277138083573,74,3.45384637947355,-76.5298314123795,11,35,6135,1,27,2,3
5,3,14,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,0,34,6135,0,32,2,1
5,3,14,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,0,34,6137,0,29,2,1
5,3,14,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,0,34,6138,7,20,2,1
5,3,14,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,0,34,6135,0,34,2,1
5,3,14,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,0,34,6137,0,30,2,1
5,3,14,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,0,34,6135,0,31,2,1
5,3,17,2,17,3.43451925474852,-76.5412485907146,16,3.41840956522489,-76.5482712818292,12,17,6135,0,2,2,1
