,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID,LATITUD_DESTINO,LONGITUD_DESTINO
28571,29,11,20,6138,3.44332180671126,-76.4839397169372
28572,29,11,20,6135,3.44332180671126,-76.4839397169372
28573,29,11,20,6137,3.44332180671126,-76.4839397169372
28574,29,11,20,6135,3.44332180671126,-76.4839397169372
28575,29,11,20,6137,3.44332180671126,-76.4839397169372
28576,29,11,20,6138,3.44332180671126,-76.4839397169372
28577,29,11,20,6137,3.44332180671126,-76.4839397169372
28578,29,11,20,6138,3.44332180671126,-76.4839397169372
28579,29,11,20,6138,3.44332180671126,-76.4839397169372
28580,29,11,20,6138,3.44332180671126,-76.4839397169372
28581,29,11,20,6135,3.44332180671126,-76.4839397169372
28582,29,11,20,6137,3.44332180671126,-76.4839397169372
28583,29,11,20,6135,3.44332180671126,-76.4839397169372
28584,29,11,20,6137,3.44332180671126,-76.4839397169372
28585,29,11,20,6138,3.44332180671126,-76.4839397169372
28586,11,6,20,6137,3.44506799102323,-76.4875814710183
28587,11,6,20,6137,3.44506799102323,-76.4875814710183
28588,11,6,20,6135,3.44506799102323,-76.4875814710183
28589,11,6,20,6137,3.44506799102323,-76.4875814710183
28590,11,6,20,6137,3.44506799102323,-76.4875814710183
28591,11,6,20,6135,3.44506799102323,-76.4875814710183
28592,11,6,20,6137,3.44506799102323,-76.4875814710183
28593,11,6,20,6137,3.44506799102323,-76.4875814710183
28594,11,6,20,6135,3.44506799102323,-76.4875814710183
28595,11,6,20,6137,3.44506799102323,-76.4875814710183
28596,11,6,20,6137,3.44506799102323,-76.4875814710183
28597,11,6,20,6135,3.44506799102323,-76.4875814710183
28598,11,6,20,6137,3.44506799102323,-76.4875814710183
28599,11,6,20,6137,3.44506799102323,-76.4875814710183
28600,11,6,20,6135,3.44506799102323,-76.4875814710183
28601,11,6,20,6137,3.44506799102323,-76.4875814710183
28602,11,6,20,6137,3.44506799102323,-76.4875814710183
28603,11,6,20,6135,3.44506799102323,-76.4875814710183
28604,11,6,20,6137,3.44506799102323,-76.4875814710183
28605,11,6,20,6137,3.44506799102323,-76.4875814710183
28606,11,6,20,6135,3.44506799102323,-76.4875814710183
28607,11,6,20,6137,3.44506799102323,-76.4875814710183
28608,11,6,20,6137,3.44506799102323,-76.4875814710183
28609,11,6,20,6135,3.44506799102323,-76.4875814710183
28610,11,6,20,6137,3.44506799102323,-76.4875814710183
28611,11,6,20,6137,3.44506799102323,-76.4875814710183
28612,11,6,20,6135,3.44506799102323,-76.4875814710183
28613,17,7,20,6135,3.44351311183983,-76.4961692335708
28614,17,7,20,6135,3.44351311183983,-76.4961692335708
28615,17,7,20,6137,3.44351311183983,-76.4961692335708
28616,17,7,20,6135,3.44351311183983,-76.4961692335708
28617,17,7,20,6135,3.44351311183983,-76.4961692335708
28618,17,7,20,6135,3.44351311183983,-76.4961692335708
28619,17,7,20,6137,3.44351311183983,-76.4961692335708
28620,17,7,20,6135,3.44351311183983,-76.4961692335708
28621,17,7,20,6135,3.44351311183983,-76.4961692335708
28622,17,7,20,6135,3.44351311183983,-76.4961692335708
28623,17,7,20,6137,3.44351311183983,-76.4961692335708
28624,17,7,20,6135,3.44351311183983,-76.4961692335708
28625,8,10,20,6135,3.43722520180155,-76.5174419856083
28626,8,10,20,6135,3.43722520180155,-76.5174419856083
28627,8,10,20,6135,3.43722520180155,-76.5174419856083
28628,8,10,20,6135,3.43722520180155,-76.5174419856083
28629,8,10,20,6135,3.43722520180155,-76.5174419856083
28630,8,10,20,6135,3.43722520180155,-76.5174419856083
28631,8,10,20,6135,3.43722520180155,-76.5174419856083
28632,8,10,20,6135,3.43722520180155,-76.5174419856083
28633,19,11,20,6138,3.44402100008543,-76.5209314646704
28634,19,11,20,6138,3.44402100008543,-76.5209314646704
28635,19,11,20,6138,3.44402100008543,-76.5209314646704
28636,19,11,20,6138,3.44402100008543,-76.5209314646704
